name,games played,minutes,pts,reb,asts,turnover,fgm
ABDELAL01 ,256,3200,1465,846,85,247,620
ABDULKA01 ,1560,57446,38387,17440,5660,2527,15837
ABDULMA01 ,586,15633,8553,1087,2079,963,3514
ABDULTA01 ,236,4808,1830,776,266,309,720
ABDURSH01 ,830,28883,15028,6239,2109,2136,5434
ABERNTO01 ,319,5434,1779,1011,384,129,724
ABLEFO01  ,1,1,0,1,1,0,0
ABRAMJO01 ,56,0,533,0,37,0,203
ACKERAL01 ,30,234,81,29,16,11,34
ACKERDO01 ,28,220,43,15,23,0,14
ACRESMA01 ,375,5982,1343,1525,180,235,514
ACTONCH01 ,23,195,77,47,11,0,29
ADAMSAL01 ,988,27203,13910,6937,4012,2194,5709
ADAMSDO01 ,507,13132,4497,2848,957,52,1781
ADAMSDO01 ,16,342,101,68,54,27,42
ADAMSGE01 ,215,3903,1652,873,317,292,716
AdamsHa01 ,72,549,185,84,14,26,79
ADAMSMI01 ,653,20446,9621,1900,4209,1402,3257
ADDISRA01 ,379,5697,2186,777,339,284,920
ADELMRI01 ,462,10427,3579,1129,1606,0,1381
AfflaAr01 ,149,2211,639,271,96,77,230
AgerMa01  ,77,469,154,44,18,25,58
AGUIRMA01 ,923,27730,18458,4578,2871,2306,7201
AhearBl01 ,13,177,73,16,17,18,16
AINGEDA01 ,1042,27755,11964,2768,4199,1566,4643
AITCHMA01 ,45,637,252,160,18,37,100
AjincAl01 ,31,181,70,30,3,12,25
AKINHE01  ,2,25,4,4,1,4,1
AKINHE01  ,86,712,304,177,39,0,129
ALARIMA01 ,325,5500,2432,1120,363,309,1037
ALCORGA01 ,78,844,261,329,24,0,103
AldriLa01 ,220,7048,3385,1490,303,290,1403
ALEKSCH01 ,74,1114,377,270,36,72,161
ALEXACO01 ,305,4842,1677,481,834,467,587
ALEXACO02 ,187,4069,1690,409,227,203,655
ALEXAGA01 ,11,55,19,15,2,8,8
AlexaJo01 ,59,717,278,115,42,52,102
ALEXAVI01 ,286,5756,2542,1384,257,378,1101
ALFORST01 ,169,1641,744,144,176,89,291
ALLENBI01 ,38,857,300,269,23,38,120
ALLENBO01 ,27,232,48,56,10,0,14
ALLENJE01 ,41,362,108,25,49,34,36
ALLENLU01 ,702,20159,9407,2205,3174,247,3884
ALLENMA01 ,408,6627,2206,1239,208,295,982
ALLENRA01 ,70,789,252,145,23,30,114
ALLENRA02 ,942,35095,19661,4180,3544,2207,6865
ALLENTO01 ,282,5311,2093,728,367,405,752
ALLENWI01 ,7,30,13,14,4,6,4
ALLISOD01 ,36,166,67,45,10,0,17
AllreLa01 ,3,10,3,1,0,0,1
ALLUMDA01 ,22,276,59,65,25,23,23
AlmonMo01 ,34,297,105,38,10,18,37
ALSTODE01 ,139,2658,751,525,94,112,318
ALSTORA01 ,619,17968,6369,1762,3026,1100,2294
ALUMAPE01 ,2,5,2,2,0,2,1
AMAECJO01 ,294,4814,1837,772,228,386,663
AMAYAAS01 ,85,1248,379,355,36,67,133
AmundLo01 ,103,1194,355,310,29,63,148
ANDERAL01 ,53,819,305,102,53,54,112
ANDERAN01 ,194,4786,2081,527,327,173,803
ANDERBO01 ,33,373,133,69,29,0,55
ANDERCA01 ,680,14040,4953,4246,385,926,2011
ANDERCH01 ,329,5693,1752,1664,182,281,638
ANDERCL01 ,3,22,6,4,4,0,2
ANDERCL01 ,81,581,247,103,68,0,71
ANDERDA01 ,140,4025,1707,1316,158,212,683
ANDERDA02 ,95,1067,347,91,166,0,135
ANDERDE01 ,615,17975,7357,1988,2083,1052,2419
ANDERDW01 ,5,33,21,2,3,5,7
ANDERER01 ,27,83,42,31,5,7,12
ANDERJE01 ,49,290,127,25,16,0,51
