,college,count
3,UCLA,125
23,Kentucky,123
2,North Carolina,113
33,Duke,90
92,Kansas,85
49,Indiana,83
41,Illinois,75
140,Louisville,74
184,North Carolina State,71
42,Michigan,70
37,Notre Dame,69
263,Arizona,68
425,Maryland,68
15,Syracuse,67
68,St. John's,66
72,Marquette,65
155,Minnesota,62
238,Cincinnati,62
45,Villanova,61
46,Iowa,61
170,Kansas State,58
20,Michigan State,58
50,Western Kentucky,57
121,Houston,57
104,Oklahoma,57
86,Washington,57
66,DePaul,55
38,Oregon State,55
64,South Carolina,54
16,Georgetown,54
168,Ohio State,54
196,California,53
101,Tennessee,53
218,Purdue,53
281,Oregon,53
245,Louisiana State,52
98,Missouri,52
83,Utah,52
264,Arizona State,50
132,Dayton,49
18,Brigham Young,49
127,Alabama,48
198,Stanford,48
266,San Francisco,48
173,Bradley,48
54,Georgia Tech,47
44,Providence,47
159,Wisconsin,47
31,West Virginia,46
47,LaSalle,46
115,Texas,46
29,Vanderbilt,46
279,Florida State,45
288,Nevada-Las Vegas,45
109,Memphis State,44
58,New Mexico,44
149,Tulsa,44
256,Long Beach State,44
85,Connecticut,43
185,Duquesne,43
99,Temple,43
79,Wake Forest,43
244,Georgia,41
441,Arkansas,41
5,Virginia,40
183,Iowa State,40
43,Drake,39
82,St. Bonaventure,39
71,Jacksonville,39
663,USC,38
13,Florida,37
51,Boston College,37
399,Pittsburgh,37
197,Pepperdine,37
4,Seattle,35
135,St. Louis,34
172,Holy Cross,34
63,Eastern Kentucky,34
102,Bowling Green,34
194,Santa Clara,34
318,Auburn,33
21,Northwestern,33
309,Colorado,33
171,Princeton,33
167,Detroit,32
193,Washington State,32
210,Wyoming,31
7,Utah State,31
61,Creighton,31
78,Grambling,31
84,Southern California,31
90,Nebraska,30
119,Texas-El Paso,30
220,Texas A&M,30
56,Clemson,29
17,Canisius,29
40,Colorado State,28
589,Xavier (OH),28
123,Jackson State,28
124,Manhattan,28
502,Seton Hall,28
70,Marshall,27
327,Oral Roberts,26
112,Virginia Tech,26
8,Oklahoma State,26
142,Niagara,26
6,Southern Methodist,26
313,Texas Tech,25
181,Murray State,25
146,Tennessee State,25
60,Rutgers,25
357,Loyola (IL),25
207,George Washington,24
10,Southern Illinois,24
202,Toledo,23
14,Denver,23
22,Oklahoma City,23
255,Pan American,23
81,Tulane,23
27,North Carolina A&T,22
24,Wichita State,22
180,Mississippi State,22
355,Fresno State,22
457,San Diego State,22
1,Pacific,21
117,Texas Christian,21
348,Morehead State,21
426,Illinois State,21
219,Ohio,20
138,North Texas State,20
95,Long Island,20
269,New Mexico State,20
69,New York University,20
182,Davidson,20
480,Virginia Commonwealth,20
296,Portland,19
598,None,19
189,Rhode Island,19
259,Kentucky State,19
9,Miami (FL),19
439,Furman,19
277,Eastern Michigan,19
369,Hawaii,19
188,Fordham,18
271,Louisiana Tech,18
491,Massachusetts,18
156,Weber State,18
103,Idaho State,18
500,Gonzaga,17
165,Central Michigan,17
0,Baylor,17
139,Miami (OH),17
299,Alabama State,16
392,Memphis,16
665,St. Joseph's,16
94,St. Joseph's (PA),16
157,Kentucky Wesleyan,16
945,Alabama-Birmingham,16
305,Pennsylvania,16
708,SW Louisiana,16
428,Centenary,16
96,Winston-Salem,15
275,Mississippi,15
169,Columbia,15
144,Western Michigan,15
378,South Alabama,15
258,Norfolk State,15
229,St. Francis (PA),14
702,Southern,14
493,Penn State,14
534,Idaho,14
324,Rice,14
249,Stephen F. Austin,14
450,Richmond,14
30,Montana State,14
272,San Jose State,14
137,Evansville,14
381,Hofstra,14
224,West Texas State,14
186,St. Peter's,14
727,Northeastern,13
794,Old Dominion,13
923,Cal State-Fullerton,13
359,Penn,13
452,Harvard,13
504,St. Mary's (CA),13
174,Cornell,12
267,Austin Peay,12
134,Indiana State,12
881,North Carolina-Charlotte,12
175,Fairfield,12
192,Western Carolina,12
227,Northern Illinois,12
97,Cheyney State,12
373,Shaw,12
133,Xavier,11
574,American,11
365,Lafayette,11
370,Butler,11
91,Virginia Union,11
143,Middle Tennessee,11
440,Sam Houston State,11
77,Arkansas State,11
775,California-Irvine,11
453,Houston Baptist,10
150,Loyola (CA),10
334,Colgate,10
877,New Orleans,10
191,Guilford,10
19,Akron,10
605,Iona,10
158,Delaware,9
508,Cleveland State,9
515,William & Mary,9
247,Stetson,9
962,Lamar,9
280,Hampton Institute,9
226,Albany State (GA),9
429,Nevada,9
93,Dillard,9
1083,Slovenia,9
108,Alcorn A&M,9
541,Hamline,9
505,Grand Canyon,9
815,UC Santa Barbara,9
214,Maryland State,9
507,St. Mary's (TX),8
236,Loyola (LA),8
356,California-Riverside,8
562,Montana,8
634,McNeese State,8
126,Texas Southern,8
796,Nevada-Reno,8
532,Wheaton,8
570,LeMoyne,8
371,Gardner-Webb,8
781,Northern Arizona,8
308,Hardin-Simmons,8
523,Oklahoma A&M,8
575,St. Francis (NY),8
222,Maine,8
905,South Florida,8
458,Tennessee Tech,8
400,Floridians,8
746,Alcorn State,8
653,Boston U,8
268,Northern Michigan,7
867,Drexel,7
931,Loyola Marymount,7
53,Central Washington,7
335,Georgia Southern,7
850,Tennessee-Chattanooga,7
122,Abilene Christian,7
246,Gustavus Adolphus,7
11,Texas Western,7
239,Brandeis,7
511,High Point,7
566,Mercer,7
903,NE Louisiana,7
542,Kenyon,7
472,Chicago,7
650,Rockhurst,7
635,Cal State-Los Angeles,7
494,San Diego,7
551,Yale,7
908,St. Louis (ABA),6
907,Kentucky (ABA),6
438,Catawba,6
927,James Madison,6
337,Ashland,6
802,Boise State,6
393,New York,6
767,Puget Sound,6
707,North Carolina-Wilmington,6
454,Valparaiso,6
463,Eastern Montana,6
649,Florida Southern,6
609,Navy,6
592,SW Missouri State,6
533,Siena,6
553,Dartmouth,6
567,NW Louisiana,6
449,South Dakota State,6
270,Mississippi Southern,6
65,South Carolina State,6
88,Oklahoma Baptist,6
89,Bethune-Cookman,6
